task_part,correct_string,correct_number
CluAU1,Province No. 2 (TW),
CluAU2,Alabama (AL),
CluAU3,Heves (HE),
CluAU4,Chaco (CC),
ComAU1a,smaller,
ComAU1b,,240000
ComAU2a,smaller,
ComAU2b,,400000
ComAU3a,larger,
ComAU3b,,900000
ComAU4a,higher,
ComAU4b,,450
ComZo1a,higher,
ComZo1b,,25500
ComZo2a,lower,
ComZo2b,,25000
ComZo3a,smaller,
ComZo3b,,4000000
ComZo4a,larger,
ComZo4b,,250000
DCAU1a,smaller,
DCAU1b,,40000000
DCAU2a,smaller,
DCAU2b,,190000
DCAU3a,smaller,
DCAU3b,,200000
DCAU4a,smaller,
DCAU4b,,11000
DCZo1a,smaller,
DCZo1b,,300000
DCZo2a,smaller,
DCZo2b,,2000000
DCZo3a,smaller,
DCZo3b,,45500
DCZo4a,smaller,
DCZo4b,,10000000
EstAU1,,1800000
EstAU2,,2600000
EstAU3,,200000
EstAU4,,3400000
FTAU1,Makkah (MK),
FTAU2,Almaty (AA),
FTAU3,Zuid-Holland (ZH),
FTAU4,Kano (KN),
