State/Federal Territory,Population,GDP,Colour
Johor,3768200,28139474430,#7570b3
Kedah,2185000,9790537320,#e6ab02
Kelantan,1892000,5551733400,#e6ab02
Kuala Lumpur,1778400,45840387750,#e6ab02
Labuan,99400,1443161280,#7570b3
Melaka,932700,8989370580,#7570b3
Negeri Sembilan,1132100,10222955130,#e6ab02
Pahang,1677100,12649848840,#e6ab02
Perak,2514300,16310085930,#e6ab02
Perlis,254600,1360681140,#e6ab02
Pulau Pinang,1777600,19603262280,#e6ab02
Putrajaya,105400,NA,#e6ab02
Sabah,3904700,19333875390,#7570b3
Sarawak,2818100,29281414380,#7570b3
Selangor,6541900,67695936660,#e6ab02
Terengganu,1250100,7782555900,#e6ab02
