Region,Population,Colour
Buenos Aires,15594428,#1b9e77
Catamarca,367820,#7570b3
Chaco,1053466,#e6ab02
Chubut,506668,#d95f02
Ciudad de Buenos Aires,2891082,#e7298a
Cordoba,3304825,#e7298a
Corrientes,993338,#e7298a
Entre Rios,1236300,#e6ab02
Formosa,527895,#7570b3
Jujuy,672260,#e7298a
La Pampa,316940,#d95f02
La Rioja,331847,#e6ab02
Mendoza,1741610,#1b9e77
Misiones,1097829,#66a61e
Neuquen,550334,#e6ab02
Rio Negro,633374,#66a61e
Salta,1215207,#1b9e77
San Juan,680427,#66a61e
San Luis,431588,#7570b3
Santa Cruz,272524,#e7298a
Santa Fe,3200736,#7570b3
Santiago del Estero,896461,#d95f02
Tierra del Fuego,126190,#1b9e77
Tucuman,1448200,#e7298a
