Region,Population,Colour
Bacs-Kiskun,520331,#66a61e
Baranya,386441,#7570b3
Bekes,359948,#e7298a
Borsod-Abauj-Zemplen,686266,#e6ab02
Budapest,1733685,#7570b3
Csongrad,417456,#e6ab02
Fejer,425847,#1b9e77
Gyor-Moson-Sopron,447985,#7570b3
Hajdu-Bihar,546721,#66a61e
Heves,308882,#e7298a
Jasz-Nagykun-Szolnok,386594,#7570b3
Komarom-Esztergom,304568,#e6ab02
Nograd,202427,#1b9e77
Pest,1217476,#d95f02
Somogy,317307,#66a61e
Szabolcs-Szatmar-Bereg,559272,#1b9e77
Tolna,230361,#e6ab02
Vas,256629,#66a61e
Veszprem,351898,#e7298a
Zala,282179,#7570b3
