Region,Population,Colour
Carlow,56932,#d95f02
Cavan,76176,#d95f02
Clare,118817,#e6ab02
Cork,542868,#66a61e
Donegal,159192,#7570b3
Dublin,1347359,#d95f02
Galway,258058,#7570b3
Kerry,147707,#1b9e77
Kildare,222504,#e6ab02
Kilkenny,99232,#7570b3
Laoighis,84697,#66a61e
Leitrim,32044,#e6ab02
Limerick,194899,#d95f02
Longford,40873,#66a61e
Louth,128884,#e6ab02
Mayo,130507,#66a61e
Meath,195044,#7570b3
Monaghan,61386,#66a61e
Offaly,77961,#d95f02
Roscommon,64544,#1b9e77
Sligo,65535,#e7298a
Tipperary,159553,#e7298a
Waterford,116176,#1b9e77
Westmeath,88770,#e7298a
Wexford,149722,#e6ab02
Wicklow,142425,#e7298a
