Region,Population,GDP,Colour
Abruzzo,1311580,31959,#7570b3
Apulia,4029053,72406,#7570b3
Basilicata,562869,11782,#7570b3
Calabria,1947131,33054,#7570b3
Campania,5801692,106753,#7570b3
Emilia-Romagna,4459477,153997,#e6ab02
Friuli-Venezia Giulia,1215220,36935,#e6ab02
Lazio,5879082,185935,#7570b3
Liguria,1550640,48287,#e6ab02
Lombardia,10060574,366541,#e6ab02
Marche,1525271,40988,#e6ab02
Molise,305617,6233,#7570b3
Piemonte,4356406,129322,#e6ab02
Sardegna,1639591,33556,#7570b3
Sicily,4999891,86998,#7570b3
Toscana,3729641,112239,#e6ab02
Trentino-Alto Adige,1072276,41104,#e6ab02
Umbria,882015,21341,#e6ab02
Valle d'Aosta,125666,4436,#e6ab02
Veneto,4905854,155515,#e6ab02
