Parish,Population_2018,Population_2001,Colour
Clarendon,247702,237024,#e6ab02
Hanover,70265,67037,#e6ab02
Kingston,89883,96052,#7570b3
Manchester,191881,185801,#e6ab02
Portland,82643,80205,#7570b3
Saint Andrew,579890,555828,#7570b3
Saint Ann,174203,166762,#7570b3
Saint Catherine,521249,482308,#7570b3
Saint Elizabeth,151839,146404,#e6ab02
Saint James,185697,175127,#e6ab02
Saint Mary,114867,111466,#7570b3
Saint Thomas,94939,91604,#7570b3
Trelawny,75981,73066,#e6ab02
Westmoreland,145628,138947,#e6ab02
