Canton,Population,Population (1821) (People),Colour,,purple,yellow,
Capellen,50094,10685,#7570b3,,50094,,
Clervaux,18936,9851,#e6ab02,,,18936,
Diekirch,33782,10343,#e6ab02,,,33782,
Echternach,19189,10696,#e6ab02,,,19189,
Esch-sur-Alzette,183364,12078,#7570b3,,183364,,
Grevenmacher,30887,11096,#e6ab02,,,30887,
Luxembourg,190671,23953,#7570b3,,190671,,
Mersch,33326,10542,#e6ab02,,,33326,
Redange,19473,10345,#e6ab02,,,19473,
Remich,23244,11229,#7570b3,,23244,,
Vianden,5510,3484,#e6ab02,,,5510,
Wiltz,17632,9780,#e6ab02,,,17632,
,,,,,447373,178735,268638
