State/Region,Population,Population (1983) (People),Colour,,yellow,yellow,
Ayeyarwady,6272913,4994061,#7570b3,,,,
Bago,4934428,3799791,#7570b3,,,,
Chin,516752,368949,#e6ab02,,516752,368949,
Kachin,1881362,904794,#e6ab02,,1881362,904794,
Kayah,320216,168429,#7570b3,,,,
Kayin,1605697,1055359,#7570b3,,,,
Magway,3937278,3243166,#e6ab02,,3937278,3243166,
Mandalay,6477740,3433322,#e6ab02,,6477740,3433322,
Mon,1995068,1680157,#7570b3,,,,
Naypyitaw,1269188,1144440,#e6ab02,,1269188,1144440,
Rakhine,3325116,2045559,#e6ab02,,3325116,2045559,
Sagaing,5550389,3862172,#e6ab02,,5550389,3862172,
Shan,6332188,3716841,#e6ab02,,6332188,3716841,
Tanintharyi,1479086,917247,#7570b3,,,,
Yangon,8203832,3965916,#7570b3,,,,
,,,,,29290013,18719243,10570770
