Region,Population,Colour
Abia,2845380,#e7298a
Adamawa,3178950,#e7298a
Akwa Ibom,3178950,#d95f02
Anambra,4177828,#66a61e
Bauchi,4653066,#1b9e77
Bayelsa,1704515,#e7298a
Benue,4253641,#e7298a
Borno,4171104,#1b9e77
Cross River,2892988,#66a61e
Delta,4112445,#1b9e77
Ebonyi,2176947,#7570b3
Edo,3233366,#e7298a
Ekiti,2398957,#d95f02
Enugu,3267837,#e6ab02
Federal Capital Territory,1405201,#d95f02
Gombe,2365040,#e6ab02
Imo,3927563,#d95f02
Jigawa,4361002,#e6ab02
Kaduna,6113503,#e6ab02
Kano,9401288,#d95f02
Katsina,5801584,#66a61e
Kebbi,3256541,#d95f02
Kogi,3314043,#7570b3
Kwara,2365353,#1b9e77
Lagos,9113605,#7570b3
Nassarawa,1869377,#66a61e
Niger,3954772,#e7298a
Ogun,3751140,#66a61e
Ondo,3460877,#e6ab02
Osun,3416959,#7570b3
Oyo,5580894,#e7298a
Plateau,3206531,#e7298a
Rivers,5198605,#e6ab02
Sokoto,3702676,#e6ab02
Taraba,2294800,#d95f02
Yobe,2321339,#7570b3
Zamfara,3278873,#1b9e77
