District,Population,Colour
Ampara,649402,#7570b3
Anuradhapura,860575,#d95f02
Badulla,815405,#e7298a
Batticaloa,526567,#1b9e77
Colombo,2324349,#e6ab02
Galle,1063334,#d95f02
Gampaha,2304833,#1b9e77
Hambantota,599903,#d95f02
Jaffna,583882,#1b9e77
Kalutara,1221948,#7570b3
Kandy,1375382,#d95f02
Kegalle,840648,#66a61e
Kilinochchi,113510,#66a61e
Kurunegala,1618465,#e6ab02
Mannar,99570,#7570b3
Matale,484531,#1b9e77
Matara,814048,#e6ab02
Moneragala,451058,#66a61e
Mullaitivu,92238,#e7298a
Nuwara Eliya,711644,#7570b3
Polonnaruwa,406088,#e7298a
Puttalam,762396,#e7298a
Ratnapura,1088007,#1b9e77
Trincomalee,379541,#66a61e
Vavuniya,172115,#e6ab02
