State,Population,Colour
Alabama,4780127,#7570b3
Arizona,6392307,#e7298a
Arkansas,2915958,#7570b3
California,37252895,#66a61e
Colorado,5029324,#7570b3
Connecticut,3574118,#d95f02
Delaware,897936,#e7298a
District of Columbia,601767,#1b9e77
Florida,18804623,#1b9e77
Georgia,9688681,#66a61e
Idaho,1567652,#1b9e77
Illinois,12831549,#7570b3
Indiana,6484229,#e6ab02
Iowa,3046869,#d95f02
Kansas,2853132,#66a61e
Kentucky,4339349,#e7298a
Louisiana,4533479,#e6ab02
Maine,1328361,#66a61e
Maryland,5773785,#d95f02
Massachusetts,6547817,#1b9e77
Michigan,9884129,#d95f02
Minnesota,5303925,#7570b3
Mississippi,2968103,#66a61e
Missouri,5988927,#1b9e77
Montana,989417,#d95f02
Nebraska,1826341,#e7298a
Nevada,2700691,#e6ab02
New Hampshire,1316466,#7570b3
New Jersey,8791936,#1b9e77
New Mexico,2059192,#e6ab02
New York,19378087,#e7298a
North Carolina,9535692,#1b9e77
North Dakota,672591,#e6ab02
Ohio,11536725,#66a61e
Oklahoma,3751616,#d95f02
Oregon,3831073,#e7298a
Pennsylvania,12702887,#7570b3
Rhode Island,1052931,#e7298a
South Carolina,4625401,#e6ab02
South Dakota,814191,#66a61e
Tennessee,6346275,#d95f02
Texas,25146105,#e7298a
Utah,2763888,#66a61e
Vermont,625745,#d95f02
Virginia,8001045,#e6ab02
Washington,6724543,#7570b3
West Virginia,1853011,#1b9e77
Wisconsin,5687289,#1b9e77
Wyoming,563767,#e6ab02
